JOB_NUMBER,JOB_TYPE,C_O_ISSUE_DATE,BIN_NUMBER,BOROUGH,NUMBER,STREET,POSTCODE,PR_DWELLING_UNIT,EX_DWELLING_UNIT,APPLICATION_STATUS_RAW,FILING_STATUS_RAW,ITEM_NUMBER,ISSUE_TYPE,LATITUDE,LONGITUDE,CENSUS_TRACT,NTA,LOCATION
121092744,A1,7/17/18,1086701,Manhattan,223,WEST 34TH STREET,10119,348,0,Issued,New,14,Temporary,40.751384,-73.991529,109,Midtown-Midtown South,"(40.751384, -73.991529)"
103417063,A1,11/21/17,1001004,Manhattan,60,WALL STREET,10005,,,Issued,New,49,Temporary,40.705914,-74.008609,7,Battery Park City-Lower Manhattan,"(40.705914, -74.008609)"
121236723,A1,2/3/17,1081024,Manhattan,129,WEST 67TH STREET,10023,,,Issued,New,7,Final,40.774919,-73.982745,153,Lincoln Square,"(40.774919, -73.982745)"
120903629,A1,12/14/16,1080950,Manhattan,416,WEST 52 STREET,10019,156,0,Issued,New,9,Temporary,40.765047,-73.988791,133,Clinton,"(40.765047, -73.988791)"
121328937,NB,12/14/16,1027082,Manhattan,538,WEST 58TH STREET,10019,226,,Issued,New,2,Temporary,40.77069,-73.990223,135,Clinton,"(40.77069, -73.990223)"
120481246,NB,12/14/16,1089709,Manhattan,625,WEST 57 STREET,10019,1432,,Issued,New,9,Temporary,40.771014,-73.993054,135,Clinton,"(40.771014, -73.993054)"
121181666,NB,12/14/16,1023396,Manhattan,160,WEST 56 STREET,10019,67,,Issued,New,1,Temporary,40.76456,-73.979867,137,Midtown-Midtown South,"(40.76456, -73.979867)"
103417063,A1,8/17/17,1001004,Manhattan,60,WALL STREET,10005,,,Issued,New,48,Temporary,40.705914,-74.008609,7,Battery Park City-Lower Manhattan,"(40.705914, -74.008609)"
104268472,A1,8/17/17,1001004,Manhattan,60,WALL STREET,10005,,,Issued,New,39,Temporary,40.705914,-74.008609,7,Battery Park City-Lower Manhattan,"(40.705914, -74.008609)"
103417063,A1,6/1/17,1001004,Manhattan,60,WALL STREET,10005,,,Issued,New,47,Temporary,40.705914,-74.008609,7,Battery Park City-Lower Manhattan,"(40.705914, -74.008609)"
101227628,NB,12/14/16,1085722,Manhattan,200,RIVERSIDE BOULEVARD,10069,377,0,Issued,New,52,Temporary,40.779031,-73.988229,155,Lincoln Square,"(40.779031, -73.988229)"
120059943,A1,12/14/16,1030544,Manhattan,2109,BROADWAY,10023,409,409,Issued,New,27,Temporary,40.780408,-73.982076,159,Lincoln Square,"(40.780408, -73.982076)"
122704671,A1,12/14/16,1051805,Manhattan,1806,THIRD AVENUE,10029,8,8,Issued,New,2,Temporary,40.787915,-73.947352,166,East Harlem South,"(40.787915, -73.947352)"
120971751,A1,12/14/16,1032587,Manhattan,721,AMSTERDAM AVENUE,10025,229,229,Issued,New,5,Temporary,40.793523,-73.970739,181,Upper West Side,"(40.793523, -73.970739)"
104149930,NB,12/14/16,1088142,Manhattan,273,WEST  122 STREET,10027,6,,Issued,New,3,Temporary,40.807855,-73.951653,222,Central Harlem South,"(40.807855, -73.951653)"
104029579,NB,12/14/16,1089104,Manhattan,381,LENOX AVENUE,10027,19,,Issued,New,25,Temporary,40.810574,-73.943975,224,Central Harlem North-Polo Grounds,"(40.810574, -73.943975)"
121183361,A1,12/14/16,1058176,Manhattan,132,WEST 133RD STREET,10030,11,10,Issued,New,2,Temporary,40.813401,-73.943217,226,Central Harlem North-Polo Grounds,"(40.813401, -73.943217)"
