GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - With interest, dividends, or net rental income","Margin of Error; Total: - With interest, dividends, or net rental income","Estimate; Total: - No interest, dividends, or net rental income","Margin of Error; Total: - No interest, dividends, or net rental income"
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,11,0,11,0,11
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",927,75,104,57,823,81
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",3447,166,418,154,3029,188
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,11,0,11,0,11
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",3954,197,316,171,3638,221
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",4610,321,1173,321,3437,420
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",3585,180,492,158,3093,226
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",646,83,233,61,413,71
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",743,72,261,64,482,82
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",2258,129,83,72,2175,117
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",1743,106,429,123,1314,129
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",2417,215,561,141,1856,198
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",1602,88,695,116,907,136
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",1310,78,208,79,1102,99
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",3418,220,960,209,2458,266
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",3137,213,1005,226,2132,229
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",2958,226,472,165,2486,262
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",3138,171,576,175,2562,216
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",1881,59,44,31,1837,69
