GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With wage or salary income,Margin of Error; Total: - With wage or salary income,Estimate; Total: - No wage or salary income,Margin of Error; Total: - No wage or salary income
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,11,0,11,0,11
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,11,0,11,0,11
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",220,80,184,78,36,36
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",765,81,430,87,335,89
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,11,0,11,0,11
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",315,125,199,105,116,72
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",942,189,481,165,461,162
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",703,154,287,135,416,130
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",603,151,378,140,225,111
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",871,144,587,125,284,121
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,11,0,11,0,11
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,11,0,11,0,11
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,11,0,11,0,11
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",0,11,0,11,0,11
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",659,225,429,193,230,179
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",907,244,353,231,554,171
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",286,139,109,83,177,115
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",412,180,237,158,175,131
1500000US360610006005,360610006005,"Block Group 5, Census Tract 6, New York County, New York",861,186,465,207,396,189
1500000US360610006006,360610006006,"Block Group 6, Census Tract 6, New York County, New York",973,207,566,260,407,195
1500000US360610007000,360610007000,"Block Group 0, Census Tract 7, New York County, New York",0,11,0,11,0,11
1500000US360610007001,360610007001,"Block Group 1, Census Tract 7, New York County, New York",4322,373,3939,363,383,124
1500000US360610007002,360610007002,"Block Group 2, Census Tract 7, New York County, New York",0,11,0,11,0,11
1500000US360610008000,360610008000,"Block Group 0, Census Tract 8, New York County, New York",0,11,0,11,0,11
1500000US360610008001,360610008001,"Block Group 1, Census Tract 8, New York County, New York",462,159,253,113,209,142
1500000US360610008002,360610008002,"Block Group 2, Census Tract 8, New York County, New York",491,126,354,94,137,103
1500000US360610008003,360610008003,"Block Group 3, Census Tract 8, New York County, New York",586,127,355,137,231,96
1500000US360610008004,360610008004,"Block Group 4, Census Tract 8, New York County, New York",822,165,435,123,387,156
1500000US360610008005,360610008005,"Block Group 5, Census Tract 8, New York County, New York",797,177,381,129,416,183
1500000US360610008006,360610008006,"Block Group 6, Census Tract 8, New York County, New York",493,159,279,132,214,109
1500000US360610009000,360610009000,"Block Group 0, Census Tract 9, New York County, New York",0,11,0,11,0,11
1500000US360610009001,360610009001,"Block Group 1, Census Tract 9, New York County, New York",851,72,770,70,81,33
1500000US360610009002,360610009002,"Block Group 2, Census Tract 9, New York County, New York",0,11,0,11,0,11
1500000US360610010010,360610010010,"Block Group 0, Census Tract 10.01, New York County, New York",0,11,0,11,0,11
1500000US360610010011,360610010011,"Block Group 1, Census Tract 10.01, New York County, New York",799,46,519,73,280,71
1500000US360610010020,360610010020,"Block Group 0, Census Tract 10.02, New York County, New York",0,11,0,11,0,11
1500000US360610010021,360610010021,"Block Group 1, Census Tract 10.02, New York County, New York",719,175,337,153,382,171
1500000US360610010022,360610010022,"Block Group 2, Census Tract 10.02, New York County, New York",635,201,205,122,430,194
1500000US360610010023,360610010023,"Block Group 3, Census Tract 10.02, New York County, New York",1114,236,763,207,351,139
1500000US360610012001,360610012001,"Block Group 1, Census Tract 12, New York County, New York",785,90,412,93,373,79
1500000US360610012002,360610012002,"Block Group 2, Census Tract 12, New York County, New York",506,90,314,84,192,84
1500000US360610012003,360610012003,"Block Group 3, Census Tract 12, New York County, New York",584,83,406,79,178,67
1500000US360610013001,360610013001,"Block Group 1, Census Tract 13, New York County, New York",1188,188,1170,189,18,21
1500000US360610013002,360610013002,"Block Group 2, Census Tract 13, New York County, New York",1385,178,1268,175,117,65
1500000US360610014011,360610014011,"Block Group 1, Census Tract 14.01, New York County, New York",790,84,518,98,272,70
1500000US360610014012,360610014012,"Block Group 2, Census Tract 14.01, New York County, New York",817,98,578,106,239,79
1500000US360610014021,360610014021,"Block Group 1, Census Tract 14.02, New York County, New York",804,102,484,82,320,79
1500000US360610014022,360610014022,"Block Group 2, Census Tract 14.02, New York County, New York",589,79,340,102,249,103
1500000US360610015010,360610015010,"Block Group 0, Census Tract 15.01, New York County, New York",0,11,0,11,0,11
1500000US360610015011,360610015011,"Block Group 1, Census Tract 15.01, New York County, New York",1345,218,1315,223,30,35
1500000US360610015012,360610015012,"Block Group 2, Census Tract 15.01, New York County, New York",1741,232,967,193,774,215
